0	pseudomona aeruginosa infect cystic fibrosi occurr precipit antibodi pseudomona aeruginosa relat concentr sixteen serum protein clinic radiograph statu lung signific pseudomona aeruginosa infect respiratori tract 9 cystic fibrosi patient studi mean immunoelectrophoret analysi patient sera number precipitin pseudomona aeruginosa concentr 16 serum protein addit clinic radiograph statu lung evalu use 2 score system precipitin pseudomona aeruginosa demonstr sera maximum number one serum 22 concentr 12 serum protein significantli chang compar match control person notabl igg iga elev acut phase protein chang latter suggest activ tissu damag concentr 3 acut phase protein notabl haptoglobin correl number precipitin suggest respiratori tract infect patient mani precipitin accompani tissu damag infect patient precipitin result indic protect valu mani precipitin tissu respiratori tract
1	amylas content mix saliva children salivari amylas level determin normal subject birth adult life children condit sometim associ low pancreat amylas malnutrit coeliac diseas cystic fibrosi mix saliva collect care standardis condit amylas measur method dahlqvist wide scatter valu 84 normal subject concentr rose low level birth reach adult level age 6 month 1 year salivari amylas activ rose normal ten week one prematur infant fed milk gastrostomi thirteen children coeliac diseas 9 children cystic fibrosi mostli normal salivari amylas concentr six 12 malnourish children jejun villou atrophi uncertain aetiolog low level rose normal recoveri began
2	clinic studi diagnosi cystic fibrosi instrument neutron activ analysi sodium nail clip articl report possibl use instrument neutron activ analysi inaa sodium nail clip diagnos cystic fibrosi cf children adult detect heterozygot screen neonat period nail clip 1322 newborn 22 cf patient two newborn 52 healthi control 22 heterozygot analyz discrimin cf patient control found precis individu one year age inaa nail clip accept diagnost test cf age heterozygot could detect method first five day life big overlap valu normal newborn cf children make method invalu earli screen cf
3	methodolog studi diagnosi cystic fibrosi instrument neutron activ analysi sodium nail clip instrument neutron activ analysi inaa nail clip use develop diagnost method cystic fibrosi cf cf patient control three year old nail clip sampl test differ error result studi precis collect routin outlin sodium easili wash nail clip risk sodium contamin nail seem small sodium distribut nail inhomogen sodium content vari also nail nail person good evid increas sodium nail cf patient come sweat seem basic intrins sodium level nail cf patient control precis accuraci inaa determin sodium nail consid satisfactori conclud inaa sodium concentr nail clip suitabl method aid diagnosi cf precis collect routin use
4	proteolyt activ duoden juic infant children adult capac duoden juic hydrolys casein trichloroacet acidsolubl peptid investig control group 11 infant children 7 adult 5 children pancreat diseas 10 children enterogen malabsorpt coeliac diseas cow milk protein intoler proteolyt activ per ml duoden juic fast condit great healthi infant children healthi adult 500600 mg caseinmlhour good correl trypsin content proteolyt activ duoden juic pancreat insuffici proteolyt activ extrem low measur 3 patient trypsin activ wherea enterogen malabsorpt within rang control
5	pseudomona aeruginosa infect cystic fibrosi distribut b lymphocyt relat humor immun respons influenc chronic ps aeruginosa infect occurr bone marrowderiv lymphocyt b cell thymusderiv lymphocyt cell peripher blood studi 2 group patient cystic fibrosi one group 9 patient suffer chronic ps aeruginosa infect respiratori tract produc multipl ps aeruginosa precipitin demonstr mean cross immunoelectrophoresi group 9 patient never harbour ps aeruginosa respiratori tract present demonstr precipitin bacteria lymphocyt examin presenc 2 surfac marker b cell receptor c3 complement compon eac rosetteform surfac immunoglobulin immunofluoresc stain presenc 1 surfac marker cell spontan bind sheep red blood cell e rosetteform bt cell ratio nearli ident 2 group patient wherea total number b cell signific higher patient chronic ps aeruginosa infect number ps aeruginosa precipitin per serum significantli posit correl total number cell whera correl total number b cell insignific
6	pseudomona aeruginosa infect cystic fibrosi relationship mucoid strain pseudomona aeruginosa humor immun respons occurr pseudomona aeruginosa respiratori tract 70 cystic fibrosi patient occurr precipitin ps aeruginosa sera patient investig one year mean monthli bacteriolog examin tracheal secret mean cross immunoelectrophoresi polyval ps aeruginosa antigen sera patient oneyear period preval rate patient harbour ps aeruginosa 64 per cent newli colon patient intermitt colon patient nonmucoid strain predomin wherea mucoid strain predomin chronic colon patient occurr mucoid strain especi chronic colon patient associ significantli higher number precipitin ps aeruginosa occurr nonmucoid strain male chronic colon mucoid strain present significantli higher number precipitin femal chronic colon mucoid strain number precipitin correl durat chronic colon ps aeruginosa male contrast femal result accord hypothesi mucoid substanc could virul factor might inhibit opson effect precipitin mucoid cell complement depend lysi cell herebi favour mucoid strain expens nonmucoid strain respiratori tract cystic fibrosi patient
7	epidemiolog investig respiratori tract bacteriolog patient cystic fibrosi seventi patient cystic fibrosi treat outpati cystic fibrosi clinic follow one year monthli bacteriolog examin tracheal secret daili impress obtain laboratori express mean point preval rate pseudomona aeruginosa 44 per cent staphylococcu aureu 39 per cent haemophilu influenza 17 per cent diplococcu pneumonia 8 per cent miscellan bacteria mainli enterobacteriacea 8 per cent fluctuat bacteriolog describ addit epidemiolog term one examin studi period preval rate 90 per cent patient harbour st aureu 64 per cent ps aeruginosa mainli mucoid strain 64 per cent h influenza 37 per cent pneumonia 30 per cent miscellan bacteria mainli enterobacteriacea pattern found age group minor agedepend modif especi regard enterobacteriacea ps aeruginosa predomin regard chronic colon reflect difficult therapeut problem period preval rate 39 per cent contrast st aureu 10 per cent h influenza 1 per cent st aureu predomin regard new colon recolon reflect problem prevent incid rate new colon recolon per risk group 84 per cent follow h influenza 62 per cent ps aeruginosa 43 per cent pneumonia 30 per cent result show bacteriolog problem cystic fibrosi still consider regard therapi well prevent although mani speci may colon respiratori tract patient main clinic problem concern ps aeruginosa st aureu reason discuss
8	occurr cystic fibrosi celiac sprue within singl sibship famili present celiac sprue cystic fibrosi occur within sibship cousin index case also discov celiac sprue genet incid condit review estim likelihood associ occur basi chanc famili 1 50000
9	cystic fibrosi patient kartagen syndrom patient exhibit featur kartagen syndrom cystic fibrosi author knowledg repres third report combin cystic fibrosi exclud diagnosi kartagen syndrom made
