query file: query_1.txt
1. 00437.txt: 0.28532954070921246
2. 00484.txt: 0.26286680577872235
3. 00498.txt: 0.24823131111822455
4. 00827.txt: 0.20650113378220425
5. 00741.txt: 0.205593917450999
6. 00957.txt: 0.1981506902807235
7.  00533.txt: 0.1971547542270316
8.  00526.txt: 0.18556457796421874
9.  00754.txt: 0.1838624631315429
10.  00052.txt: 0.1717525555494709
11.  00592.txt: 0.17100143675918633
12.  00441.txt: 0.16785730999213425
13.  00499.txt: 0.16481705803152638
14.  00950.txt: 0.16275146486547243
15.  00975.txt: 0.15552709969885825
16.  00481.txt: 0.15026049673848
17.  00711.txt: 0.14877176459154648
18.  00151.txt: 0.1457083179469579
19.  00856.txt: 0.14153300351520168
20.  00302.txt: 0.14031018767969985

query file: query_10.txt
1.  00157.txt: 0.6126595259793687
2.  00676.txt: 0.5391067495308036
3.  00878.txt: 0.5097431036041458
4.  00581.txt: 0.45808217113126654
5.  00414.txt: 0.36995082118423184
6.  01108.txt: 0.36605909382735996
7.  01115.txt: 0.32758564450735805
8.  01239.txt: 0.29468258371130307
9.  01218.txt: 0.293364248530275
10.  01106.txt: 0.2759858014695172
11.  00126.txt: 0.27481358911210907
12.  00165.txt: 0.21770978133646005
13.  00794.txt: 0.19447722440137302
14.  00921.txt: 0.1650351761780217
15.  00510.txt: 0.1519114497871209
16.  01234.txt: 0.15083266495131778
17.  00438.txt: 0.13825202547928753
18.  00970.txt: 0.1361727709309069
19.  00413.txt: 0.13315111317369696
20.  00983.txt: 0.1320179076402264

query file: query_11.txt
1.  00991.txt: 0.4247984299995501
2.  00096.txt: 0.3897284456897078
3.  00799.txt: 0.32486400989000197
4.  00796.txt: 0.3229064499232904
5.  00798.txt: 0.3008715200852372
6.  00649.txt: 0.2959342869369274
7.  00834.txt: 0.2857277348816313
8.  00908.txt: 0.2780984558134437
9.  00909.txt: 0.2698468487310526
10.  01064.txt: 0.2660739017225098
11.  00659.txt: 0.26281974092438887
12.  00835.txt: 0.2525878133739928
13.  00319.txt: 0.20938869257404322
